화장실명,소재지도로명주소,위도,경도
홈플러스 강동점,서울특별시 강동구 양재대로 1571,37.5458064,127.1421
하나로마트 성내점,서울특별시 강동구 올림픽로 528,37.5524266,127.1283801
천호역,서울특별시 강동구 천호동 455,37.54294,127.12733
강동역,서울특별시 강동구 천호동 447,37.54294,127.12733
길동역,서울특별시 강동구 길동 378,37.5398309,127.14661060476558
굽은다리역,서울특별시 강동구 명일동 345-12,37.54841,127.15158
명일역,서울특별시 강동구 명일동 312,37.54841,127.15158
고덕역,서울특별시 강동구 고덕동 310,37.56528,127.15761
상일동역,서울특별시 강동구 상일동 148,37.55073,127.1704
강일역,서울특별시 강동구 강일동 산22-14,37.56723,127.1713
둔촌동역,서울특별시 강동구 둔촌동 416,37.5289579,127.1447659
암사역,서울특별시 강동구 암사동 501,37.5582352,127.1308542
강동구청역,서울특별시 강동구 성내동 319,37.52998,127.12875
중앙보훈병원역,서울특별시 강동구 둔촌동 6-3,37.5289579,127.1447659
산호빌딩,서울특별시 금천구 벚꽃로38길 15,37.4823233,126.8847697
대명합동시장,서울특별시 금천구 시흥동 884-4,37.4507049,126.9085555
종합청사,서울특별시 금천구 시흥대로73길 70,37.456710099999995,126.89481443815981
금천종합복지타운,서울특별시 금천구 금하로 764,37.4496013,126.9144265
시흥4동청소년독서실,서울특별시 금천구 독산로32길 16,37.4578906,126.9078089
금천문화원(1층),서울특별시 금천구 시흥대로 38길 61,37.446397,126.9044442
문화체육센터(1층),서울특별시 금천구 독산로 54길 188,37.4700707,126.9073397
견인보관소,서울특별시 금천구 가산디지털2로 169-34 (가산동),37.48330365,126.87608161
공단본부,서울특별시 금천구 시흥대로37길 18,37.44574565,126.90262152143832
독산도서관(1층),서울특별시 금천구 독산로54길 114,37.4675461,126.90808613538621
가산도서관(1층),서울특별시 금천구 가산로5길 43,37.4738477,126.8946154
마을활력소 어울샘,서울특별시 금천구 탑골로22,37.45180869,126.9116478
가산동 주민센터,서울특별시 금천구 가산로 129,37.4717291,126.9005104
독산1동 주민센터,서울특별시 금천구 시흥대로123길 11,37.4702278,126.8973698
독산1동 분소,서울특별시 금천구 한내로 69-17,37.4566582,126.8875494
독산2동 주민센터,"서울특별시 금천구 독산로 179, 독산2동주민센터 (독산동)",37.4631474,126.90348246
독산3동 주민센터,서울특별시 금천구 독산로 317,37.47513505,126.90322736284884
독산4동 주민센터,서울특별시 금천구 독산로 232,37.4797872,126.9039286
시흥1동 주민센터,서울특별시 금천구 시흥대로58길 36,37.4535184,126.90325504621562
금천종합복지타운,서울특별시 금천구 금하로 764,37.4496013,126.9144265
시흥3동 주민센터,서울특별시 금천구 시흥대로18길 40,37.44028835,126.90581391024591
시흥4동 주민센터,서울특별시 금천구 독산로36길 14,37.4594573,126.9064722
시흥5동 주민센터,서울특별시 금천구 금하로21길 20,37.4522108,126.9081021
1호선 금천구청역,서울특별시 금천구 시흥대로63길 91,37.455787799999996,126.89429112870279
1호선 독산역,서울특별시 금천구 벚꽃로 115,37.4771329,126.8849089
1호선 가산디지털단지역,서울특별시 금천구 벚꽃로 309,37.4815947,126.8826166
1호선 가산디지털단지역,서울특별시 금천구 벚꽃로 309,37.4815947,126.8826166
가산우체국,서울특별시 금천구 남부순환로 1288,37.4808467,126.9097652
구로세관,서울특별시 금천구 가산디지털1로 67,37.4783003,126.8825117
